adjective,definition
able,(usually followed by ‘to’) having the necessary means or skill or know-how or authority to do something
abnormal,not normal; not typical or usual or regular or conforming to a norm
above,No definition found
absent,not being in a specified place
absolute,perfect or complete or pure
abstract,existing only in the mind; separated from embodiment
absurd,No definition found
abundant,present in great quantity
academic,associated with academia or an academy
acceptable,worthy of acceptance or satisfactory
accessible,capable of being reached
accounting,No definition found
accurate,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
accused,No definition found
active,tending to become more severe or wider in scope
actual,presently existing in fact and not merely potential or possible
acute,having or experiencing a rapid onset and short but severe course
added,No definition found
addicted,compulsively or physiologically dependent on something habit-forming
additional,No definition found
adequate,having the requisite qualities or resources to meet a task
adjacent,No definition found
administrative,of or relating to or responsible for administration
adult,No definition found
advanced,No definition found
adverse,No definition found
advisory,No definition found
aesthetic,relating to or dealing with the subject of aesthetics
afraid,filled with fear or apprehension
aggregate,No definition found
aggressive,having or showing determination and energetic pursuit of your ends
agile,No definition found
agreed,No definition found
agricultural,relating to or used in or promoting agriculture or farming
alert,engaged in or accustomed to close observation
alien,No definition found
alive,possessing life
alleged,No definition found
allied,of or relating to or denoting the Allies in World War II
alone,No definition found
aloof,No definition found
alright,No definition found
alternative,No definition found
amateur,No definition found
amazing,No definition found
amber,No definition found
ambiguous,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
ambitious,having a strong desire for success or achievement
ample,more than enough in size or scope or capacity
ancient,No definition found
angry,feeling or showing anger
annual,completing its life cycle within a year
anonymous,having no known name or identity or known source
anxious,No definition found
appalling,No definition found
apparent,No definition found
applicable,No definition found
applied,concerned with concrete problems or data rather than with fundamental principles
appointed,subject to appointment
appropriate,suitable for a particular person or place or condition etc
approved,No definition found
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice
archaeological,related to or dealing with or devoted to archaeology
architectural,of or pertaining to the art and science of architecture
armed,(used of persons or the military) characterized by having or bearing arms
arrogant,No definition found
articulate,expressing yourself easily or characterized by clear expressive language
artificial,contrived by art rather than nature
artistic,relating to or characteristic of art or artists
ashamed,feeling shame or guilt or embarrassment or remorse
asleep,in a state of sleep
assertive,aggressively self-assured
assistant,No definition found
associated,No definition found
astonishing,No definition found
atomic,of or relating to or comprising atoms
attempted,No definition found
attractive,pleasing to the eye or mind especially through beauty or charm
automatic,operating with minimal human intervention; independent of external control
autonomous,No definition found
available,obtainable or accessible and ready for use or service
average,No definition found
awake,not in a state of sleep; completely conscious
aware,(sometimes followed by ‘of’) having or showing knowledge or understanding or realization or perception
awful,offensive or even (of persons) malicious
awkward,lacking grace or skill in manner or movement or performance
back,related to or located at the back
bad,having undesirable or negative qualities
bad,having undesirable or negative qualities
bad,having undesirable or negative qualities
balanced,being in a state of proper equilibrium
bald,No definition found
bare,not having a protective covering
basic,pertaining to or constituting a base or basis
beautiful,delighting the senses or exciting intellectual or emotional admiration
beneficial,No definition found
big,above average in size or number or quantity or magnitude or extent
binding,No definition found
biological,pertaining to biology or to life and living things
bitter,No definition found
bitter,No definition found
bizarre,No definition found
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light
bland,No definition found
