hyponym,definition
bad,below average in quality or performance
bad,capable of harming
bad,having undesirable or negative qualities
bitter,causing a sharp and acrid taste experience
bitter,marked by strong resentment or cynicism
black,being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light
black,offering little or no hope
clear,free from clouds or mist or haze
clear,readily apparent to the mind
close,close in relevance or relationship
close,at or within a short distance in space or time or having elements near each other
cold,having a low or inadequate temperature or feeling a sensation of coldness or having been made cold by e.g. ice or refrigeration
cold,extended meanings; especially of psychological coldness; without human warmth or emotion
common,belonging to or participated in by a community as a whole; public
common,common to or shared by two or more parties
common,having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual
constant,uninterrupted in time and indefinitely long continuing
constant,steadfast in purpose or devotion or affection
critical,marked by a tendency to find and call attention to errors and flaws
critical,urgently needed; absolutely necessary
critical,being in or verging on a state of crisis or emergency
delicate,exquisitely fine and subtle and pleasing; susceptible to injury
delicate,easily broken or damaged or destroyed
dirty,soiled or likely to soil with dirt or grime
dirty,(of behavior or especially language) characterized by obscenity or indecency
domestic,of concern to or concerning the internal affairs of a nation
domestic,of or relating to the home
dull,lacking in liveliness or animation
dull,not having a sharp edge or point
even,divisible by two
even,being level or straight or regular and without variation as e.g. in shape or texture
finished,(of materials or goods) brought to the desired final state
finished,brought to ruin
free,not limited or hampered; not under compulsion or restraint
free,costing nothing
free,not occupied or in use
fresh,recently made, produced, or harvested
fresh,improperly forward or bold
full,containing as much or as many as is possible or normal
full,filled to satisfaction with food or drink
good,promoting or enhancing well-being
good,of moral excellence
great,relatively large in size or number or extent; larger than others of its kind
great,of major significance or importance
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
hot,(extended meanings, especially of psychological heat) marked by intensity or vehemence especially of passion or enthusiasm
light,of comparatively little physical weight or density
light,(used of color) having a relatively small amount of coloring agent
light,characterized by or emitting light
long,primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
long,primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified
lost,no longer in your possession or control; unable to be found or recovered
lost,spiritually or physically doomed or destroyed
major,of greater importance or stature or rank
major,of full legal age
mature,having reached full natural growth or development
mature,fully developed or matured and ready to be eaten or used
monstrous,hockingly brutal or cruel
monstrous,distorted and unnatural in shape or size; abnormal and hideous
narrow,not wide
narrow,lacking tolerance or flexibility or breadth of view
negative,characterized by or displaying negation or denial or opposition or resistance; having no positive features
negative,reckoned in a direction opposite to that regarded as positive
nervous,of or relating to the nervous system
nervous,unpredictably excitable
new,not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
new,(often followed by ‘to’) unfamiliar
noble,of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times
noble,impressive in size, manner, or appearance
offensive,for the purpose of attack rather than defense
offensive,unpleasant or disgusting especially to the senses
open,affording unobstructed entrance and exit; not shut or closed
open,open and observable; not secret or hidden
particular,unique or specific to a person or thing or category
particular,exacting especially about details
practical,concerned with actual use or practice
present,temporal sense; intermediate between past and future; now existing or happening or in consideration
present,being or existing in a specified place
pure,free of extraneous elements of any kind
pure,(used of persons or behaviors) having no faults; sinless
real,being or occurring in fact or actuality; having verified existence; not illusory
real,being or reflecting the essential or genuine character of something
related,being connected either logically or causally or by shared characteristics
related,connected by kinship, common origin, or marriage
rotten,very bad
rotten,damaged by decay; hence unsound and useless
shallow,lacking physical depth; having little spatial extension downward or inward from an outer surface or backward or outward from a center
shallow,acking depth of intellect or knowledge; concerned only with what is obvious
short,primarily temporal sense; indicating or being or seeming to be limited in duration
short,(primarily spatial sense) having little length or lacking in length
single,being or characteristic of a single thing or person
single,not married or related to the unmarried state
soft,yielding readily to pressure or weight
soft,(of sound) relatively low in volume
solid,of definite shape and volume; firm; neither liquid nor gaseous
solid,entirely of one substance with no holes inside
straight,characterized by honesty and fairness
straight,having no deviations
strong,being distilled rather than fermented; having a high alcoholic content
strong,strong and sure
strong,having strength or power greater than average or expected
strong,immune to attack; incapable of being tampered with
tender,given to sympathy or gentleness or sentimentality
tender,easy to cut or chew
tense,in or of a state of physical or nervous tension
tense,taut or rigid; stretched tight
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions
thick,relatively dense in consistency
tough,not given to gentleness or sentimentality
tough,unfortunate or hard to bear
warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
warm,psychologically warm; friendly and responsive
wild,marked by extreme lack of restraint or control
wild,in a natural state; not tamed or domesticated or cultivated
wrong,not correct; not in conformity with fact or truth
wrong,contrary to conscience or morality or law
