hyponym-lemma;hypo_definition;hypernym-lemma;hyper_definition
academic;hypothetical or theoretical and not expected to produce an immediate or practical result;theoretical;concerned primarily with theories or hypotheses rather than practical considerations
acute;having or demonstrating ability to recognize or draw fine distinctions;thorough;painstakingly careful and accurate
Arctic;of or relating to the Arctic;polar;of or existing at or near a geographical pole or within the Arctic or Antarctic Circles
canny;showing self-interest and shrewdness in dealing with others;clever;showing inventiveness and skill
cathodic;of or at or pertaining to a cathode;electric;using or providing or producing or transmitting or operated by electricity 
childish;indicating a lack of maturity;simple;exhibiting childlike simplicity and credulity
classic;"of a well-known type; remarkably typical";normal;"conforming with or constituting a norm or standard or level or type or social norm; not abnormal "
clever;showing inventiveness and skill ;intelligent;having the capacity for thought and reason especially to a high degree
convenient ;suited to your comfort or purpose or needs;suitable;meant or adapted for an occasion or use
downcast;filled with melancholy and despondency;sad;experiencing or showing sorrow or unhappiness
fascist;relating to or characteristic of fascism;discriminatory;being biased or having a belief or attitude formed beforehand
fiery;characterized by intense emotion;intense;possessing or displaying a distinctive feature to a heightened degree
heavy;characterized by effort to the point of exhaustion;difficult;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
humorless;lacking humor;boring, dull;so lacking in interest as to cause mental weariness 
humorous;full of or characterized by humor;funny;arousing or provoking laughter
immoral;not adhering to ethical or moral principles;bad;characterized by wickedness or immorality
impervious;not admitting of passage or capable of being affected;compact;closely and firmly united or packed together
inefficacious;lacking the power to produce a desired effect;inefficient;not producing desired results
introverted;given to examining own sensory and perceptual experiences;taciturn;habitually reserved and uncommunicative
lascivious;"driven by lust; preoccupied with or exhibiting lustful desires";unconstrained;free from constraint 
paradoxical;seemingly contradictory but nonetheless possibly true;contradictory;that confounds or contradicts or confuses
pharisaical;excessively or hypocritically pious;pious;having or showing or expressing reverence for a deity
physiological;of or consistent with an organism's normal functioning;natural;"in accordance with nature; relating to or concerning nature"
physiological;of or consistent with an organism's normal functioning;normal;being approximately average or within certain limits in e.g. intelligence and development
pitchy;"of the blackest black; similar to the color of jet or coal";black;"being of the achromatic color of maximum darkness; having little or no hue owing to absorption of almost all incident light"
prescriptive;pertaining to giving directives or rules;stringent;demanding strict attention to rules and procedures 
quiet;characterized by an absence or near absence of agitation or activity;calm;"not agitated; without losing self-possession"
reddened;(especially of the face) reddened or suffused with or as if with blood from emotion or exertion ;red;of a color at the end of the color spectrum (next to orange)
uncrowded;having or allowing sufficient room;empty;holding or containing nothing
unfilled;of purchase orders that have not been filled;empty;holding or containing nothing 
unlawful;contrary to or forbidden by law;unjustified;lacking justification or authorization
unsystematic;lacking systematic arrangement or method or organization ;disorderly, chaotic;completely unordered and unpredictable and confusing
