hyponym-lemma;hypo_definition;hypernym-lemma;hyper_definition
gloomy;depressingly dark;dark;"devoid of or deficient in light or brightness; shadowed or black"
pompous;characterized by pomp and ceremony and stately display;excessive, inordinate, undue, unreasonable;beyond normal limits
capital;of principal importance;urgent, pressing;compelling immediate action
peaceful;not disturbed by strife or turmoil or war ;calm, serene, tranquil, unagitated ;"not agitated; without losing self-possession"
fortunate;having unexpected good fortune;happy, felicitous;marked by good fortune
shadowy;filled with shade ;dark;"devoid of or deficient in light or brightness; shadowed or blac"
unobtrusive;not obtrusive or undesirably noticeable;modest;"marked by simplicity; having a humble opinion of yourself"
humorous;full of or characterized by humor;funny, amusing, comic, comical, laughable, mirthful, risible;arousing or provoking laughter
well-known;widely or fully known;famous, celebrated, famed, far-famed, illustrious, notable, noted, renowned ;widely known and esteemed 
firstborn;first in order of birth;first;preceding all others in time or space or degree
edible;suitable for use as food;consumable;may be used up
isomorphous;having similar appearance but genetically different;siimilar, like, alike;having the same or similar characteristics
blank;(of a surface) not written or printed on;empty;holding or containing nothing
gluttonous;given to excess in consumption of especially food or drink;greedy;wanting to eat or drink more than one can reasonably consume
penitent;feeling or expressing remorse for misdeeds;regretful, bad, sorry;feeling or expressing regret or sorrow or a sense of loss over something done or undone
utopian;characterized by or aspiring to impracticable perfection;ideal;"conforming to an ultimate standard of perfection or excellence; embodying an ideal"
impervious;not admitting of passage or capable of being affected;compact;closely and firmly united or packed together
prescriptive;pertaining to giving directives or rules;stringent, rigorous, tight;demanding strict attention to rules and procedures 
unblemished;free from physical or moral spots or stains;clean;"free from dirt or impurities; or having clean habits"
combined;made or joined or united into one;joined, coupled, linked;connected by a link
deft;"skillful in physical movements; especially of the hands";skillful, adept, expert, good, practiced, proficient ;having or showing knowledge and skill and aptitude
antisocial;hostile to or disruptive of normal standards of social behavior;withdrawn, recluse, reclusive;"withdrawn from society; seeking solitude"
equitable;fair to all parties as dictated by reason and conscience;fair, just;"free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
unsystematic;lacking systematic arrangement or method or organization ;disorderly, chaotic;completely unordered and unpredictable and confusing
inspiring;stimulating or exalting to the spirit;stimulating;rousing or quickening activity or the senses
exotic;strikingly strange or unusual;strange, unusual;"being definitely out of the ordinary and unexpected; slightly odd or even a bit weird"
insincere;lacking sincerity;dishonest, dishonorable;"deceptive or fraudulent; disposed to cheat or defraud or deceive"
frosty;covered with frost;cold;having a low or inadequate temperature or feeling a sensation of coldness or having been made cold
opportune;suitable or at a time that is suitable or advantageous especially for a particular purpose;suitable, appropriate, suited;meant or adapted for an occasion or use
extant;"still in existence; not extinct or destroyed or lost";real, existent;"being or occurring in fact or actuality; having verified existence; not illusory"
unprejudiced;free from undue bias or preconceived opinions;undiscriminating, indiscriminating;not discriminating
acquisitive;eager to acquire and possess things especially material possessions or ideas;selfish,  egocentric, egoistic, egoistical, self-centered, self-seeking, self-serving;concerned chiefly or only with yourself and your advantage to the exclusion of others
limitless;without limits in extent or size or quantity;vast, Brobdingnagian, huge, immense;unusually great in size or amount or degree or especially extent or scope
overjoyed;extremely joyful;happy;enjoying or showing or marked by joy or pleasure
unheeding;marked by or paying little heed or attention;indifferent;showing no care or concern in attitude or action
totalitarian;characterized by a government in which the political authority exercises absolute and centralized control;dictatorial, authoritarian, autocratic, despotic, tyrannic, tyrannical;"characteristic of an absolute ruler or absolute rule; having absolute sovereignty"
identifiable;capable of being identified;understandable, apprehensible, graspable, intelligible, perceivable;capable of being apprehended or understood
inclusive;"including much or everything; and especially including stated limits";whole;"including all components without exception; being one unit or constituting the full amount or extent or duration"
