hyponym-lemma;hypo_definition;hypernym-lemma;hyper_definition
complicated;difficult to analyze or understand;difficult, hard;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
repentant;feeling or expressing remorse for misdeeds;aware, cognisant, cognizant;having or showing knowledge or understanding or realization or perception
blind;unable to see;handicapped, disabled;the total or partial absence of a person's bodily or mental functions, including the absence of a part of a person's body
ardent;characterized by strong enthusiasm;hardworking, industrious, tireless, untiring;characterized by hard work and perseverance
fatigued;"drained of energy or effectiveness; extremely tired; completely exhausted";tired;depleted of strength or energy 
ludic;relating to play or playfulness;playful;full of fun and high spirits
simple;easy and not involved or complicated;easy;"posing no difficulty; requiring little effort"
undeniable;not possible to deny;unmistakable, apparent, evident, manifest, palpable, patent, plain;clearly revealed to the mind or the senses or judgment
unattainable;impossible to achieve ;difficult, hard;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
favourable;encouraging or approving or pleasing;positive;characterized by or displaying affirmation or acceptance or certainty
exotic;being or from or characteristic of another place or part of the world;foreign, strange;relating to or originating in or characteristic of another place or part of the world
downcast;filled with melancholy and despondency;sad;experiencing or showing sorrow or unhappiness
relaxed;without strain or anxiety;calm, serene, tranquil, unagitated;"not agitated; without losing self-possession"
Marxist;following the ideas of Marx and Engels;communist, communistic ;relating to or marked by communism
impolite;not polite;unpleasant;"offensive or disagreeable; causing discomfort or unhappiness"
employable;physically and mentally capable of working at a regular job and available;available, uncommitted;"not busy; not otherwise committed"
melodramatic;having the excitement and emotional appeal of melodrama;sentimental;given to or marked by sentiment or sentimentality
neuropsychological;of or concerned with neuropsychology;psychological;of or relating to or determined by psychology
frosty;"devoid of warmth and cordiality; expressive of unfriendliness or disdain";cold;"especially of psychological coldness; without human warmth or emotion "
canny;showing self-interest and shrewdness in dealing with others;clever, cunning, ingenious;showing inventiveness and skill
partisan;devoted to a cause or party;political;involving or characteristic of politics or parties or politicians
grammatic;of or pertaining to grammar;linguistic, lingual;consisting of or related to language
carcinogenic;causing or tending to cause cancer;pathogenic, infective, morbific;able to cause disease
reliable;conforming to fact and therefore worthy of belief;certain;"established beyond doubt or question; definitely known"
helpful;providing assistance or serving a useful function;kind;"having or showing a tender and considerate and helpful nature; used especially of persons and their behavior"
horny;feeling great sexual desire;heated;"marked by emotional heat; vehement"
arthritic;of or pertaining to arthritis;ill, sick;affected by an impairment of normal physical or mental function
white;"being of the achromatic color of maximum lightness; having little or no hue owing to reflection of almost all incident light";bright;emitting or reflecting light readily or in large amounts
childish;indicating a lack of maturity;simple, childlike, dewy-eyed, round-eyed, wide-eyed;exhibiting childlike simplicity and credulity
bright-red;of the red of fresh raspberries;red;of a color at the end of the color spectrum (next to orange)
light green;of the color between blue and yellow in the color spectrum;green;"of the color between blue and yellow in the color spectrum; similar to the color of fresh grass"
reddened;(especially of the face) reddened or suffused with or as if with blood from emotion or exertion ;red, blood-red, carmine, cerise, cherry, cherry-red, crimson, reddish, ruby, ruby-red, ruddy, scarlet;of a color at the end of the color spectrum (next to orange)
surreal;characterized by fantastic imagery and incongruous juxtapositions;fantastic, fantastical;existing in fancy only
quiet;characterized by an absence or near absence of agitation or activity;calm, serene, tranquil, unagitated;"not agitated; without losing self-possession"
distinguished;(used of persons) standing above others in character or attainment or reputation;dignified;"having or expressing dignity; especially formality or stateliness in bearing or appearance"
sudden;happening without warning or in a short space of time;unexpected;not expected or anticipated 
malnourished;not being provided with adequate nourishment;weak, debile, decrepit, feeble, infirm, rickety, sapless, weakly;lacking bodily or muscular strength or vitality
exorbitant;greatly exceeding bounds of reason or moderation;big, large;above average in size or number or quantity or magnitude or extent
unremarkable;found in the ordinary course of events;ordinary;not exceptional in any way especially in quality or ability or size or degree
cool;"neither warm nor very cold; giving relief from heat ";cold;having a low or inadequate temperature or feeling a sensation of coldness or having been made cold 
Buddhistic;of or relating to or supporting Buddhism;religious, spiritual;concerned with sacred matters or religion or the church
brisant;of or relating to the power (the shattering effect) of an explosive;explosive;serving to explode or characterized by explosion or sudden outburst
skinny;being very thin;thin, lean;lacking excess flesh 
incompatible;not easy to combine harmoniously;conflicting, at odds, contradictory, self-contradictory;in disagreement
moist;slightly wet;wet;covered or soaked with a liquid such as water
unneeded;not necessary;useless;having no beneficial use or incapable of functioning usefully
ambitious;requiring full use of your abilities or resources ;difficult, hard;"not easy; requiring great physical or mental effort to accomplish or comprehend or endure"
gnostic;possessing intellectual or esoteric knowledge of spiritual things;esoteric;confined to and understandable by only an enlightened inner circle
exhausted;"drained of energy or effectiveness; extremely tired; completely exhausted";tired;depleted of strength or energy
satanic;"extremely evil or cruel; expressive of cruelty or befitting hell ";malicious;having the nature of or resulting from malice
perplexed;full of difficulty or confusion or bewilderment ;confused, at sea, baffled, befuddled, bemused, bewildered, confounded, lost, mazed, mixed-up;"perplexed by many conflicting situations or statements; filled with bewilderment"
serious;causing fear or anxiety by threatening great harm;dangerous, unsafe;"involving or causing danger or risk; liable to hurt or harm"
homogenous;all of the same or similar kind or nature;uniform, consistent;the same throughout in structure or composition
socialist;advocating or following the socialist principles;left-wing, left-of-center, leftist;believing in or supporting tenets of the political left
merry;full of or showing high-spirited merriment;happy;enjoying or showing or marked by joy or pleasure
antisocial;hostile to or disruptive of normal standards of social behavior;unsociable;not inclined to society or companionship
lavish;characterized by extravagance and profusion;showy, glossy;"superficially attractive and stylish; suggesting wealth or expense"
palish;slightly pale;pale;"very light colored; highly diluted with white"
old-fashioned;out of fashion;outdated, obsolete, out-of-date, superannuated ;"old; no longer valid or fashionable"
reputable;having a good reputation;known;apprehended with certainty
hypothetical;based primarily on surmise rather than adequate evidence;possible, potential;existing in possibility
next;immediately following in time or order;subsequent;following in time or order
steel grey;slightly purplish or bluish dark grey;gray, grayish, grey, greyish;of an achromatic color of any lightness intermediate between the extremes of white and black 
uncrowded;having or allowing sufficient room;empty;holding or containing nothing
believable;capable of being believed;likely;within the realm of credibility
aggressive;characteristic of an enemy or one eager to fight;hostile;characterized by enmity or ill will 
navy blue;a dark shade of blue;blue, blueish, bluish;"of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky"
nutritive;of or providing nourishment;edible, comestible, eatable;suitable for use as food
mental;involving the mind or an intellectual process;immaterial, incorporeal;without material form or substance
unpardonable;not admitting of pardon;bad;having undesirable or negative qualities
asymmetric;characterized by asymmetry in the spatial arrangement or placement of parts or components;uneven;not even or uniform as e.g. in shape or texture
indisputable;"not open to question; obviously true";evident, apparent, manifest, palpable, patent, plain, unmistakable;clearly revealed to the mind or the senses or judgment
implacable;incapable of being placated ;angry;feeling or showing anger
steel blue;a greyish blue color;gray-blue, grayish-blue, grey-blue, greyish-blue;of blue tinged with grey
lucid;capable of thinking and expressing yourself in a clear and consistent manner;aware, cognisant, cognizant;having or showing knowledge or understanding or realization or perception
